,review,rating,Positive,Negative,Neutral,Output,Character Counts,Word Counts
0,nice product good qualiti price rise bad sign  afford price especi play everyday kind help us term price thank,4,0.519,0.109,0.373,Unhappy,110,19
1,suppli yonex mavi  outsid cover yonex ad insid cheapest  sad hear,1,0.0,0.237,0.763,Unhappy,65,11
2,worst product damag shuttlecock pack new box origin yonex product buyflipkart platform chosen fraud buyer,1,0.0,0.378,0.622,Unhappy,105,15
3,quit k  nowaday  qualiti cork like   year back use mavi   year qualiti cork good time get qualiti cork like rate cork also much  sorri say like experi  statment true   knowledg,3,0.355,0.0,0.645,Unhappy,176,30
4,pricedjust  retaileri understand wat advantag buy dis frm flipkrt,1,0.0,0.0,1.0,Unhappy,65,9
5,good qualiti product deliv time,5,0.42,0.0,0.58,Happy,31,5
6,best purchas good qualiti durabl averag shuttl ship good,5,0.625,0.0,0.375,Happy,56,9
7,good qualiti origin shuttl,5,0.492,0.0,0.508,Happy,26,4
8,awesom,5,0.0,0.0,1.0,Happy,6,1
9,nice origin product,5,0.583,0.0,0.417,Happy,19,3
10,green cap shuttlecock realli awesom qualiti best good packingthi green cap shuttlecock play warm conditionsworth money simpli love,5,0.545,0.0,0.455,Happy,130,18
11,best class,5,0.808,0.0,0.192,Happy,10,2
12,genuin price less near shop,5,0.0,0.0,1.0,Happy,27,5
13,second time get open bundl yonex mavi  shuttl realli believ origin product someon may switch shuttl insid bundl buy flipkart go return product,1,0.0,0.0,1.0,Unhappy,142,23
14,realli satisfi qualiti prompt deliveryhappi custom flipkart ,5,0.0,0.0,1.0,Happy,60,7
15,nyc,5,0.0,0.0,1.0,Happy,3,1
16,usual buy model last even day,1,0.0,0.0,1.0,Unhappy,29,6
17,poor qualiti origin,2,0.0,0.608,0.392,Unhappy,19,3
18,deliv expect time,5,0.0,0.0,1.0,Happy,17,3
19,nice origin product,5,0.583,0.0,0.417,Happy,19,3
20,nice good price compar local sport,5,0.588,0.0,0.412,Happy,34,6
21,perfect go yonex never disappoint pros   feather might look littl cheap first glanc like qualiti best bottom cork amaz play open court perfect glide around balanc base  durabl seem go fine issu intermedi player use one shuttl sinc  day con   slight higher rang  use   bg   racquet p,5,0.345,0.0,0.655,Happy,282,47
22,superb,4,1.0,0.0,0.0,Unhappy,6,1
23,look like defect without balanc throw  ,1,0.281,0.27,0.449,Unhappy,39,6
24,genuin product reason pricegot rs ,4,0.0,0.0,1.0,Unhappy,34,5
25,good seal origin yonex shuttl,5,0.42,0.0,0.58,Happy,29,5
26,expectedth head  portion break soondefect piec,2,0.0,0.0,1.0,Unhappy,46,6
27,give  star price hike pleas anyon suggest shuttl cork perform lower price,4,0.0,0.167,0.833,Unhappy,73,12
28,qualiti poover,5,0.0,0.0,1.0,Happy,14,2
29,good product,5,0.744,0.0,0.256,Happy,12,2
30,good product,5,0.744,0.0,0.256,Happy,12,2
31,receiv good conditionam realli satisfi productbut satisfi deliveri boy alway coin returnit mean pay extra money item also know opportun never coin returni realli like kind selfish,4,0.249,0.127,0.623,Unhappy,179,27
32,use found shuttl qualiti upto level box  qualiti sticker,2,0.0,0.0,1.0,Unhappy,56,9
33,local product,1,0.0,0.0,1.0,Unhappy,13,2
34,shuttl separ base singl shot poor qualiti,2,0.0,0.341,0.659,Unhappy,41,7
35,shuttl rotat,2,0.0,0.0,1.0,Unhappy,12,2
36,bad qualiti,1,0.0,0.778,0.222,Unhappy,11,2
37,worst qualiti   shot ball start rotat,1,0.0,0.451,0.549,Unhappy,37,6
38,expect kind product flipkart,3,0.531,0.0,0.469,Unhappy,28,4
39,one better shuttl marketgood qualiti reason price,5,0.326,0.0,0.674,Happy,49,7
40,low qualiti,1,0.0,0.677,0.323,Unhappy,11,2
41,superb qualiti best price thank flipkart,4,0.783,0.0,0.217,Unhappy,40,6
42,second qualiti shuttl  buy almost torn shape worst experi go buy shop cost around ,1,0.0,0.316,0.684,Unhappy,82,14
43,think genuin cos check offici websit yonex hologram number yet product bad job well definit compar one origin one shop near let other know differ,4,0.118,0.121,0.761,Unhappy,145,25
44,bad qualiti time,1,0.0,0.636,0.364,Unhappy,16,3
45,receiv  duplic n cheapest ball kept insid broken box done deleber worst experi ever flipkart buy anyth except badminton yonex mavi ,1,0.0,0.286,0.714,Unhappy,131,21
46,qualiti good reject qualiti,1,0.382,0.355,0.263,Unhappy,27,4
47,green cap shuttl good indoor well outdoor play though slow speed durabl thank great deal,5,0.583,0.0,0.417,Happy,88,15
48,realli nice productquick deliveri thank filpkart,5,0.57,0.0,0.43,Happy,48,6
49,nice shuttl,5,0.737,0.0,0.263,Happy,11,2
50,horribl producteach shuttl last even singl dayextrem poor qualitypathet,1,0.0,0.279,0.721,Unhappy,71,9
51,qualiti low orgin,1,0.0,0.512,0.488,Unhappy,17,3
52,worst,1,0.0,1.0,0.0,Unhappy,5,1
53,differ onlin qualiti market qualiti local market product far better onlin product,1,0.209,0.0,0.791,Unhappy,81,12
54,worst product,1,0.0,0.804,0.196,Unhappy,13,2
55,low qualiti bad qualiti ,1,0.0,0.737,0.263,Unhappy,24,4
56,product origin cork use come within  day use pleas buy shuttl origin rather buy shop shop rate,1,0.0,0.0,1.0,Unhappy,94,17
57,qualiti good earlier also manufactur date also long back earlier shuttlecock receiv max past month manufactur also back,1,0.146,0.0,0.854,Unhappy,119,18
58,genuin product,1,0.0,0.0,1.0,Unhappy,14,2
59,wast product,1,0.0,0.0,1.0,Unhappy,12,2
60,use shuttl item qualiti slow disappoint time,1,0.0,0.31,0.69,Unhappy,44,7
61,high price,1,0.0,0.0,1.0,Unhappy,10,2
62,bad bad  compar ah year back come mavi ,1,0.0,0.538,0.462,Unhappy,39,8
63,yonex mavi  best among yonex shuttlecock play one year price increas unnecessarili rs  last year,5,0.337,0.0,0.663,Happy,96,15
64,bad product qualiti use   total wastag money copi product,1,0.0,0.304,0.696,Unhappy,57,9
65,shuttl heavier specif felt like play cheap rip origin mavi ,1,0.38,0.0,0.62,Unhappy,59,10
66, class qualiti  want return time,1,0.245,0.0,0.755,Unhappy,32,5
67,worst shuttl ever shuttl start spin shot even come game,1,0.0,0.313,0.687,Unhappy,55,10
68,certain cork damag certain cork even came  match,1,0.412,0.0,0.588,Unhappy,48,8
69,bad qualiti ,1,0.0,0.778,0.222,Unhappy,12,2
70,expect qualiti,1,0.0,0.0,1.0,Unhappy,14,2
71,bad qualiti could play   shuttl,1,0.27,0.393,0.337,Unhappy,31,5
72,durabl poor qualiti,1,0.0,0.608,0.392,Unhappy,19,3
73,price littel bit high,4,0.0,0.0,1.0,Unhappy,21,4
74,good,5,1.0,0.0,0.0,Happy,4,1
75,nice,3,1.0,0.0,0.0,Unhappy,4,1
76,requir one,5,0.0,0.0,1.0,Happy,10,2
77,product originalpleas avoid onlin purchas,1,0.0,0.355,0.645,Unhappy,41,5
78,one shuttl damag voblinglet know,1,0.0,0.0,1.0,Unhappy,32,5
79,good qualiti product,4,0.592,0.0,0.408,Unhappy,20,3
80,good shuttl  classic product,5,0.492,0.0,0.508,Happy,28,4
81,got defect piec,1,0.0,0.545,0.455,Unhappy,15,3
82,bad pack unsatisfi,1,0.0,0.636,0.364,Unhappy,18,3
83, qualiti product yonexit origin shuttl run long prompt deliveri flipkart shuttl durablenon,5,0.0,0.0,1.0,Happy,90,12
84,good qualiti  nice product  thank fpr fast deliveri,5,0.621,0.0,0.379,Happy,51,8
85,nice cock,5,0.636,0.364,0.0,Happy,9,2
86,good qualiti,5,0.744,0.0,0.256,Happy,12,2
87,scratch code mention barrel verifi yonex  sunris websit mention product duplic,1,0.0,0.0,1.0,Unhappy,78,11
88,awsm ,4,0.0,0.0,1.0,Unhappy,5,1
89,reason price,5,0.0,0.0,1.0,Happy,12,2
90,excel product   origin product receiv  fast deliveri  second tough go,5,0.24,0.12,0.64,Happy,69,10
91,one best offer given flipkart best shuttl tournament train alway use type shuttl play yonex  green thank flipkart best deal  alway put type deal  book ,5,0.467,0.0,0.533,Happy,151,25
92,good  question  last  match  purchas yonex mavi  blue one  littl bit fast good smash  last like green cap,4,0.356,0.0,0.644,Unhappy,105,18
93,mavi  quit durabl realli good starter recommend mavi  best practic session,4,0.545,0.0,0.455,Unhappy,74,11
94,receiv product commit time thank flipkart mavi  realli awesom product matter whether beginn intermedi advanc level player mavi  definit perfect work play last  year,4,0.385,0.0,0.615,Unhappy,164,24
95,good nice pack everyshuttl nice insud perfect flight,5,0.753,0.0,0.247,Happy,52,8
96,got product earlier expect   th april   sale box proper seal  packingimport date sure mrp  way cheaper market price rs  per box also check popular websit one close flipkart point alway use mavi  green cap stabil durabl speed open court thank flipkart hope cheaper deal,5,0.208,0.0,0.792,Happy,268,44
97,best choic peopl want practic indoor outdoor badminton get financi oblig feather shuttl mavi  hard find time  savior alway avail yellow one bit better outdoor white fine indoor respect colour given backdrop flipkart offer best price almost season far longev shuttl stark less play outdoor due,5,0.332,0.024,0.644,Happy,292,46
98,long time got entir box genuin shuttl dynam price strategi big everyday price cannot go otherwis would happi buy,4,0.0,0.0,1.0,Unhappy,112,19
99,good product n durabl good enough speed slow littl mid air,4,0.42,0.0,0.58,Unhappy,58,11
100,shuttl import februari  bought march last serial number reveal scratch sticker show item genuin start play yet item look good sturdi got  think worth price also happi get item deliv quick,4,0.239,0.0,0.761,Unhappy,187,31
101,best shuttlecock life far better li ning shuttl price rang purchas   sale flight also better shuttlecock,5,0.435,0.0,0.565,Happy,104,16
102,good n nice balanc shuttl thank retailnet n flipkart hope wel get convinc rate lower one,4,0.498,0.099,0.404,Unhappy,88,16
103,shuttl best one excel  price matter ,5,0.735,0.0,0.265,Happy,36,6
104,qualiti  badper day one cork finishedmay look like duplic  mavi  corksi purchas  mani cork box  sellersthat cork  box  come   day  play box stay  day understand  delic cork box ,1,0.159,0.0,0.841,Unhappy,177,28
105,cost high hate product,1,0.0,0.552,0.448,Unhappy,22,4
106,poor qualityinconsist speedpoor flight,1,0.0,0.508,0.492,Unhappy,38,4
107,yonex alway best qualiti,5,0.583,0.0,0.417,Happy,24,4
108,worst shuttl last even day poor qualiti sure due stock issu copi product would never buy flipkart,1,0.098,0.306,0.596,Unhappy,97,17
109,use product good econom use durabl good balanc long last even sustain wrong shot quiet econom compar feather shuttl,5,0.233,0.124,0.643,Happy,115,19
110,happi product qualiti arriv actual deliveri date given thank flipkart quick deliveri  recommend everyon would like enjoy longer satisfi game,5,0.401,0.0,0.599,Happy,140,20
111,amaz shuttlecockdur best qualitygo,5,0.583,0.0,0.417,Happy,34,4
112,check sunrisetntcom  found genuin,5,0.0,0.0,1.0,Happy,33,4
